prompt,response,label,augment_type
The new shoes are,like a crossroads where the future is determined,1,didnt_understand
The sweet candy is,caterpillar,1,random_multi_word
The cold ice is,freezi,1,strip
The tight jeans are,trampoline,1,random_multi_word
The tall tree is,spaghetti delicious happiness,1,random_multi_word
The slow train is,like a person struggling to finish a marathon,0,
The clear sky is,freezing as the Arctic,1,didnt_understand
The tall tree is,the heigt of a skyscraper,0,
The tasty meal is,like eating ,1,strip
The noisy party is,umbrella calculator an earthquake,1,random_multi_word
The expensive watch is,a piece of junk,1,didnt_understand
The cold ice is,trampoline,1,random_multi_word
The ancient ruins are,p,1,strip
The ancient ruins are,a vestige of life,0,
The fast car is,volcano lightening mcqueen ,1,random_multi_word
The hot tea is,sauna,0,
The heavy rain is,hail,0,
The wet ground is,like a muddy swamp,0,
The thin air is,calculator helicopter banana as sandpaper,1,random_multi_word
The dry desert is,as dry a sand,0,
The fresh fruit is,endless,1,didnt_understand
The empty bottle is,nostalgcc,1,mispell
The heavy rain is,dense,0,
The thick fog is,like a black smoke,0,
The thick fog is,clouding my minnd,0,
The deep lake is,mag tndo que nuestros expectaciones,1,mispell
The cheap toy is,tr,1,strip
The dry desert is,mind broker,1,didnt_understand
The dark night is,as black as a cat ,0,
The red apple is,blood red ,0,
The fast horse is,lightning,0,
The crowded bus is,telescope,1,random_multi_word
The happy baby is,a,1,strip
The fast horse is,blazing,0,
The full moon is,rouCd,1,mispell
The high mountain is,a skyscraper,0,
The short bridge is,strong,0,
The sweet candy is,sug,1,strip
The expensive watch is,live a diamond,1,mispell
